一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1141,M102至M103皮带落料点,简单运输,上级排放源名称1,M102头部料斗,JSSG_QD_YS1_1082
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1142,5BC至M102皮带落料点,简单运输,上级排放源名称1,5BC头部料斗,JSSG_QD_YS1_1083
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1143,4BC至5BC皮带落料点,简单运输,上级排放源名称1,4BC头部料斗,JSSG_QD_YS1_1084
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1144,3BC至4BC皮带落料点,简单运输,上级排放源名称1,3BC头部料斗,JSSG_QD_YS1_1085
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1145,2BC至3BC皮带落料点,简单运输,上级排放源名称1,2BC头部料斗,JSSG_QD_YS1_1086
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1146,HK106至HK107皮带落料点,简单运输,上级排放源名称1,HK106,JSSG_QD_YS1_1047
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1147,缓冲仓至HK106皮带落料点,简单运输,上级排放源名称1,缓冲仓1#仓,JSSG_QD_YS1_1361
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1148,缓冲仓至HK105皮带落料点,简单运输,上级排放源名称1,缓冲仓1#仓,JSSG_QD_YS1_1361
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1149,G204-1至G204-2皮带落料点,简单运输,上级排放源名称1,G204-1,JSSG_QD_YS1_1050
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1150,G103-1至G103-2皮带落料点,简单运输,上级排放源名称1,G103-1,JSSG_QD_YS1_1053
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1151,J203至G103-1、G204-1皮带落料点,简单运输,上级排放源名称1,J203,JSSG_QD_YS1_1055
